CountryName	UrbanAverage	RuralAverage
Other small states	16640.86604	1365357.063
Pacific island small states	2495.945557	63259.04956
Pakistan	35871.94141	751709.5
Palau	30.74201965	448.2705994
Panama	2892.144043	71714.3125
Papua New Guinea	2003.610596	459445.5
Paraguay	0	0
Peru	16425.76758	1256339.875
Philippines	10817.37305	282759.125
Poland	30501.3418	277840.5
Portugal	12764.67676	78286.85156
Post-demographic dividend	1673621.02	29857737.36
Pre-demographic dividend	82664.21513	15238541.32
Puerto Rico	8511.401367	459.9195251
Qatar	1495.149292	9779.24707
Romania	15594.78906	219047.9375
Russian Federation	187538.1445	16305829.27
Rwanda	0	0
Samoa	108.1327591	2748.275879
San Marino	57.78162003	3.735872746
Sao Tome and Principe	68.23683167	933.3151855
Saudi Arabia	41223.73828	1912311.875
Senegal	1796.192627	193255.5469
Serbia	0	0
Seychelles	122.5104828	187.9656067
Sierra Leone	710.4832764	71494.83594
Singapore	565.5597534	103.5980911
Sint Maarten (Dutch part)	0	0
Slovak Republic	0	0
Slovenia	2509.15625	17680.89453
Small states	28478.63223	1821834.322
Solomon Islands	72.10932922	28264.57813
Somalia	398.7160645	634302.5625
South Africa	53460.3125	53460.3125
South Asia	273701.7139	3917486.964
South Asia (IDA & IBRD)	273701.7139	3917486.964
South Sudan	0	0
Spain	69794.58594	432138.3438
Sri Lanka	4016.146484	61106.80859
St. Kitts and Nevis	230.6646423	36.29169846
St. Lucia	351.2103882	263.5793762
St. Martin (French part)	0	0
St. Vincent and the Grenadines	111.6811523	322.5854187
Sub-Saharan Africa	140495.0269	17310643.96
Sub-Saharan Africa (excluding high income)	140372.5165	17310456
Sub-Saharan Africa (IDA & IBRD countries)	140495.0269	17310643.96
Sudan	6517.513672	2489483.5
Suriname	692.7034912	139976.1719
Swaziland	802.2711182	16551.38672
Sweden	31152.32031	390507.2813
Switzerland	7898.148926	30190.08398
Syrian Arab Republic	11955.19727	173463.2344
Tajikistan	0	0
Tanzania	3405.80542	886549.5625
Thailand	36597.01563	474183.4375
Timor-Leste	359.4190674	14569.63867
Togo	1663.073608	55426.64063
Tonga	181.8270264	552.3500366
Trinidad and Tobago	2286.748047	2879.285645
Tunisia	9897.881836	144635.9063
Turkey	44090.15625	723511.5
Turkmenistan	0	0
Turks and Caicos Islands	17.49214363	965.7578735
Tuvalu	0	38.7635994
Uganda	0	0
Ukraine	32160.1582	553950.875
United Arab Emirates	8568.158203	70575.10938
United Kingdom	58698.75	183648.9219
United States	802053.5923	8549545.51
Upper middle income	1310936.906	52609330.77
Uruguay	4689.679688	168731.9219
Uzbekistan	0	0
Vanuatu	97.80545807	12210.13477
"Venezuela, RB"	34403.92578	868222.75
Vietnam	7589.041504	318130.0938
Virgin Islands (U.S.)	302.0132141	63.46201324
West Bank and Gaza	2496.458252	3505.060059
World	3629312.187	111794070.4
"Yemen, Rep."	4703.399902	411287.5938
Zambia	0	0
Zimbabwe	0	0
